"lon","lat","owner","watershed","type","form"
"-81.06005823289695","32.06884833232024","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.0876323151549","32.06907608005227","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09928954394137","32.06918091291445","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08175309875962","32.06902682980996","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.0909803332486","32.06907710760704","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.05220700617215","32.06873691875724","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.10160709859296","32.06605218732157","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09808404344176","32.06601103545429","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09111469458202","32.065946983306205","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.04989343317652","32.06560236560177","CITY-ROW","PLACENTIA","CURB INLET",""
"-81.0551055387488","32.06539324159361","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.08312108479478","32.06563364889597","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08175765272767","32.06561665916596","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.1292204548925","32.06600637503787","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08301945693805","32.0655948136517","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10361694606787","32.06382037844993","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08979284044797","32.06369988194606","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.1242445747432","32.0639659622109","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08966112147634","32.06366371763618","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09651465520848","32.063715418337054","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10336634763527","32.06377034213958","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09301022328566","32.06367134551288","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09287782984777","32.063641017982874","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12426952035584","32.063883530637156","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.10251621770851","32.06368074260219","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.0799940198627","32.06350477715855","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08238586664359","32.06349945747292","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09378449570956","32.0742827270314","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09005336764235","32.07424850444281","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.1160712804682","32.07445974586827","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.12377904542595","32.07449927845227","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.11973326408389","32.07446783503332","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08721702368369","32.074172930326256","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.11963299875175","32.07444896932937","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08802655557696","32.07416563860567","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12360965119386","32.07445000750447","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.0866296516584","32.074158278403196","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.11609257659802","32.074390976046196","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.0854316633758","32.07791398987213","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09469696953498","32.077942041277566","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08767743847427","32.077880564976844","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.0961012001129","32.077940390054415","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.0875241317306","32.077842494171605","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10024257528403","32.077947265678084","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09598230111689","32.07790686787379","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09563701295505","32.07607669498887","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12522682502787","32.090255799712274","CITY-ROW","FELL STREET","CURB INLET",""
"-81.12906653675148","32.090278205677656","CITY-ROW","FELL STREET","CURB INLET",""
